0x020cA66C30beC2c4Fe3861a94E4DB4A498A35872,1090000
0xB76a622c7FaDBe11c415D141Fd7B9EB4b1f414B9,563276
0x122b19a4Be93d7c2b4522ebF7EB3F1b5B0343b2f,256451
0xFCCdcDb6ae0e5820b21c98d323c1340FCCe63CAE,220876
0xf15eEb4704D710264ce8C1373c09Ed30C79Af355,125027
0x56511585A5A23dEa48fcC0Aa0a9A13800dEC0531,120001
0xaA621B960F22911462550c078df678493c22b2ae,116193
0xF42DA2860c700b2F419BbF1862ab3dE6887677B4,84927
0xC585d35FB8C9D136d6443A30FD88CCbb5F4CB86D,84069
0x5a3E28c2Bf04989E6a7506A9EF845Ae2dbc6d90A,82222
0x30b4a5477314e3FbD0C22D6Afcd71EeCF4d9D22F,78363
0x740802EA66731e8401B689FfDFB27e592892F035,73773
0x6FdC859bFaD3bc680647C8C58530faA039e1fc03,73690
0x09b6f9717E04224FB413e0ABa09ea72B7C0d313B,66171
0x0a2a335B7420db3BaDa6a13E354D465a3d6dE2a4,62987
0x550e970E31A45b06dF01a00b1C89A478D4d5e00A,62082
0x67628438deeE416721dA7e84590fA9e40E4e29C4,57203
0x5C4FE960950BA0E09A72869C3D51fe70f07580e0,56114
0xE6030d4E773888e1DfE4CC31DA6e05bfe53091ac,55798
0xA2201F091B2e8E5f8AdAf8b023b99322b9eA5E66,52639
0x46c9ff6740dCCB6D3761f01a87Aea8676707813F,50193
0xFAc8D8d6440F558e7323bE73D4BAdF168E0E4BcA,46860
0x2fff0F98909bAE74d00583e65DB3aDe8a4F634cA,46172
0x20b38b163765c3a9afEF81781F06cae22Fef3290,45177
0xD5A6C836cf90dA8c3Ed8880aBd2730e217F2bc12,43842
0x6De3E88c9119Af0CfE2880f9758d76Aa95A9ec36,43377
0xF81C87fB76F3Acf458eBd29df60c92F4b7Ce8Db3,43000
0x5Af278B1C423a320425Cd46f3f6E9C08c814bf86,39179
0x77E62FB482027eCA49B160e6f7B699Fd3621F68F,39009
0xbE6a5992D259990ddF43DBd681568Db292BA47D7,38534
0xB954c3878A8583980db0f01D07040e6fa7E56C38,38450
0xE5545c0E1b2dCfCd7c713877CeB6F897705Ed62A,38000
0xc2079e5B077eae969dBEcA3747BB855Ae9DF8f3F,37695
0x28679A1a632125fbBf7A68d850E50623194A709E,37208
